"exposure","N","estimate","ci_lb","ci_ub","est_str"
"despojo_tierras",31464,2.77661437685261,2.70189423190954,2.85340088693847,"2.78 (2.70 - 2.85)"
"hostigamientos",82845,1.0347728795501,1.01065792432058,1.05946323329154,"1.03 (1.01 - 1.06)"
"amenaza",520805,0.85712144093332,0.847463176133675,0.866889777865381,"0.86 (0.85 - 0.87)"
"confinamiento",75961,0.294721300513419,0.282360316748928,0.307623415274592,"0.29 (0.28 - 0.31)"
"violenciasexual",33715,2.52814329977579,2.46393296770907,2.59402695932266,"2.53 (2.46 - 2.59)"
"desparacion",160499,1.03539017944619,1.01687894137575,1.0542383956179,"1.04 (1.02 - 1.05)"
"desplazamiento",7540257,1.0465827313768,1.04000579246938,1.05320126248082,"1.05 (1.04 - 1.05)"
"homocidio",919051,0.849241975419523,0.841596105397411,0.856957307892827,"0.85 (0.84 - 0.86)"
"lesion_fis",13880,1.36945424629455,1.28955808899642,1.45430046827414,"1.37 (1.29 - 1.45)"
"lesion_psic",13949,1.60387996145766,1.51936585131802,1.69309513474579,"1.60 (1.52 - 1.69)"
"minas",11250,1.49023583456347,1.36506583023328,1.62688332930988,"1.49 (1.37 - 1.63)"
"perdida_bienes",120168,0.860288367996302,0.843747234959491,0.877153779526487,"0.86 (0.84 - 0.88)"
"secuestro",33487,1.00931120676458,0.968515749191458,1.05182503531926,"1.01 (0.97 - 1.05)"
"tortura",9912,1.45849067893285,1.37193927369012,1.55050234462088,"1.46 (1.37 - 1.55)"
"reclut_ninos",7756,0.926281957479871,0.838758386118392,1.02293852312272,"0.93 (0.84 - 1.02)"
