"exposure","N","estimate","ci_lb","ci_ub","est_str"
"despojo_tierras",13053,3.67450333545492,3.50875390392399,3.84808257631563,"3.67 (3.51 - 3.85)"
"hostigamientos",42880,1.05994299293953,1.01912606649919,1.10239467443011,"1.06 (1.02 - 1.10)"
"amenaza",234475,0.989001292046526,0.971273196963487,1.00705296792666,"0.99 (0.97 - 1.01)"
"confinamiento",46609,0.263144215043402,0.243921685150794,0.28388159858768,"0.26 (0.24 - 0.28)"
"violenciasexual",14421,2.97033283668469,2.85031603863801,3.09540312059683,"2.97 (2.85 - 3.10)"
"desparacion",112395,0.94718952730017,0.922375711322486,0.972670886292936,"0.95 (0.92 - 0.97)"
"desplazamiento",7023767,1.10166800771662,1.09171979654281,1.1117068711859,"1.10 (1.09 - 1.11)"
"homocidio",734064,0.72980810910113,0.72032174198411,0.73941940811432,"0.73 (0.72 - 0.74)"
"lesion_fis",5131,1.69535176156998,1.51624362571108,1.89561726540515,"1.70 (1.52 - 1.90)"
"lesion_psic",7830,1.57651855473586,1.44924005511267,1.71497520004249,"1.58 (1.45 - 1.71)"
"minas",6461,1.51679129072864,1.30185524603514,1.76721323406499,"1.52 (1.30 - 1.77)"
"perdida_bienes",67122,0.848383675366497,0.821028684150637,0.876650078764251,"0.85 (0.82 - 0.88)"
"secuestro",19553,0.92774830938249,0.869717940443679,0.989650650558022,"0.93 (0.87 - 0.99)"
"tortura",4196,1.52365997467497,1.36544158761149,1.70021166741194,"1.52 (1.37 - 1.70)"
"reclut_ninos",5107,0.887584226030129,0.763747970689872,1.03149964193804,"0.89 (0.76 - 1.03)"
