"exposure","p_value"
"despojo_tierras",0.00344364940371728
"hostigamientos",9.69705180786305e-06
"amenaza",1.41183884102991e-12
"confinamiento",2.84510662430448e-16
"violenciasexual",0.00358671056469395
"desparacion",1.00250549764839e-07
"desplazamiento",3.20833339424372e-60
"homocidio",4.44437975427166e-86
"lesion_fis",0.00665332988178158
"lesion_psic",0.241236175615044
"minas",0.640101410210451
"perdida_bienes",0.904013087156474
"secuestro",0.00313295393770939
"tortura",0.104190587383878
"reclut_ninos",0.0898251664522985
