"exposure","p_value"
"despojo_tierras",0.214857299444244
"hostigamientos",6.57574074166825e-05
"amenaza",0.00943350174896032
"confinamiento",3.43797827434698e-11
"violenciasexual",9.17301814297804e-28
"desparacion",4.69552646540859e-08
"desplazamiento",4.58078497701262e-48
"homocidio",8.06632080979397e-101
"lesion_fis",0.528740621911018
"lesion_psic",9.14197272809034e-05
"minas",0.00272908676904572
"perdida_bienes",0.0604358542173281
"secuestro",3.96674442457181e-11
"tortura",0.384902684986125
"reclut_ninos",0.00345082989693851
