"exposure","p_value"
"despojo_tierras",0.00285873667980471
"hostigamientos",0.219703408194579
"amenaza",5.22234761456078e-30
"confinamiento",0.002138345108499
"violenciasexual",0.000148706648128189
"desparacion",0.0884337165692096
"desplazamiento",1.33583285689069e-65
"homocidio",0.679976879802467
"lesion_fis",1.55778366034917e-17
"lesion_psic",0.0416612016582158
"minas",0.343798495774714
"perdida_bienes",0.000324521243188137
"secuestro",2.69710568673471e-08
"tortura",0.018990568092792
"reclut_ninos",0.00321757512258261
