"exposure","estimate","ci_lb","ci_ub","sexo"
"amenaza",0.921854552329812,0.905535385252936,0.93846781637785,"Female"
"amenaza",0.798699211742127,0.778324991150077,0.819606768497672,"Male"
"amenaza",1.13951489215253,0.924375608108825,1.40472571760518,"Other"
"confinamiento",0.364837611843066,0.329768661348528,0.403635938209039,"Female"
"confinamiento",0.321227152907095,0.292206717647428,0.353129745255555,"Male"
"confinamiento",3.31429535349811e-07,0,Inf,"Other"
"desplazamiento",1.0566278968994,1.04684073323862,1.06650656308725,"Female"
"desplazamiento",1.16599171707791,1.14938277245864,1.18284066620045,"Male"
"desplazamiento",0.723045150120819,0.604666966874897,0.86459872583283,"Other"
"despojo_tierras",2.4114210193271,2.25997584596913,2.5730148146601,"Female"
"despojo_tierras",2.83357290163143,2.66657932535973,3.01102439087456,"Male"
"despojo_tierras",2.00240732982649,0.191552290026516,20.9323266977796,"Other"
"lesion_fis",1.83107730795712,1.67307799456008,2.00399749361183,"Female"
"lesion_fis",1.0556594429905,0.95259461918704,1.16987524087221,"Male"
"lesion_fis",1.56304794912397,0.728162195289171,3.35518502205464,"Other"
"lesion_psic",1.36629407502705,1.21437807276779,1.53721443207496,"Female"
"lesion_psic",1.140307366238,1.00044967284588,1.2997164423052,"Male"
"lesion_psic",4.31968750586848,0.11856754730154,157.3761165937,"Other"
"perdida_bienes",0.782061571900109,0.755221794409213,0.809855206471262,"Female"
"perdida_bienes",0.748199060547857,0.716991851873861,0.780764568999845,"Male"
"perdida_bienes",0.887691799977951,0.321604429249783,2.45020484819279,"Other"
"reclut_ninos",0.903151548373039,0.764382701904737,1.06711300150572,"Female"
"reclut_ninos",0.606883710484329,0.493453199543097,0.746388590432191,"Male"
"reclut_ninos",1.01542056714867e-07,0,Inf,"Other"
"secuestro",1.20547354966075,1.11991286440654,1.29757102102916,"Female"
"secuestro",0.92253718238316,0.864843580872339,0.984079516461241,"Male"
"secuestro",2.09150648031985,0.814439737704643,5.37105344288381,"Other"
"tortura",1.51674776757921,1.39004333727498,1.65500148719568,"Female"
"tortura",1.32076897006092,1.18131830788622,1.47668131496003,"Male"
"tortura",1.24491100828231,0.586212595049086,2.64375660235125,"Other"
"violenciasexual",2.48948562772962,2.42119370554874,2.55970378432308,"Female"
"violenciasexual",2.27720891977087,1.95771437186734,2.6488442536884,"Male"
"violenciasexual",1.4331839942029,1.10407521835997,1.86039531282161,"Other"
